id,text,label
1,"Subject: Verify Your Bank Account Now

Dear Customer, We noticed unusual activity on your account. Please confirm your identity to avoid restrictions: http://secure-bank-verify.com/login

Thank you, Your Bank Security Team (variation 1)",1
2,"Subject: Immediate Action Required: Account Login

Hi, A suspicious login attempt was detected on your PayPal account. Verify your details here: http://paypa1.com/verify-login

PayPal Support (variation 2)",1
3,"Subject: Your Amazon Package Couldn’t be Delivered

Hello, Your recent order requires verification to be delivered. Click the link to confirm: http://amaz0n-delivery.com/confirm

Amazon Delivery Team (variation 3)",1
4,"Subject: Facebook Account Alert

Hi, We detected a login attempt from a new device. Confirm it’s you immediately: http://faceb00k-security.com/login

Security Team Facebook (variation 4)",1
5,"Subject: Subscription Payment Failed

Hello, We couldn’t process your subscription payment. Update your payment info to avoid service interruption: http://netf1ix-billing.com/update

Subscription Services (variation 5)",1
6,"Subject: DHL Delivery Notification

Dear Customer, Your parcel could not be delivered. Verify your address here to receive it: http://dhl-delivery.com/verify

DHL Customer Support (variation 6)",1
7,"Subject: Electricity Bill Payment Failed

Hi, Your electricity payment was unsuccessful. Please update your payment method here: http://e-bill-update.com/login

Your Electricity Provider (variation 7)",1
8,"Subject: Urgent: Account Suspended

Dear User, Your account has been temporarily suspended. Click here to restore access: http://secure-login-now.com/account-verify

Support Team (variation 8)",1
9,"Subject: Update Your Apple ID Now

Hi, We detected unusual activity on your Apple ID. Verify immediately: http://applleid-update.com/verify

Apple Security (variation 9)",1
10,"Subject: PayPal Transaction Alert

Hello, Your recent transaction was flagged as suspicious. Confirm it here: http://paypal-secure-login.com/confirm

PayPal Team (variation 10)",1
11,"Subject: Verify Your Bank Account Now

Dear Customer, We noticed unusual activity on your account. Please confirm your identity to avoid restrictions: http://secure-bank-verify.com/login

Thank you, Your Bank Security Team (variation 11)",1
12,"Subject: Immediate Action Required: Account Login

Hi, A suspicious login attempt was detected on your PayPal account. Verify your details here: http://paypa1.com/verify-login

PayPal Support (variation 12)",1
13,"Subject: Your Amazon Package Couldn’t be Delivered

Hello, Your recent order requires verification to be delivered. Click the link to confirm: http://amaz0n-delivery.com/confirm

Amazon Delivery Team (variation 13)",1
14,"Subject: Facebook Account Alert

Hi, We detected a login attempt from a new device. Confirm it’s you immediately: http://faceb00k-security.com/login

Security Team Facebook (variation 14)",1
15,"Subject: Subscription Payment Failed

Hello, We couldn’t process your subscription payment. Update your payment info to avoid service interruption: http://netf1ix-billing.com/update

Subscription Services (variation 15)",1
16,"Subject: DHL Delivery Notification

Dear Customer, Your parcel could not be delivered. Verify your address here to receive it: http://dhl-delivery.com/verify

DHL Customer Support (variation 16)",1
17,"Subject: Electricity Bill Payment Failed

Hi, Your electricity payment was unsuccessful. Please update your payment method here: http://e-bill-update.com/login

Your Electricity Provider (variation 17)",1
18,"Subject: Urgent: Account Suspended

Dear User, Your account has been temporarily suspended. Click here to restore access: http://secure-login-now.com/account-verify

Support Team (variation 18)",1
19,"Subject: Update Your Apple ID Now

Hi, We detected unusual activity on your Apple ID. Verify immediately: http://applleid-update.com/verify

Apple Security (variation 19)",1
20,"Subject: PayPal Transaction Alert

Hello, Your recent transaction was flagged as suspicious. Confirm it here: http://paypal-secure-login.com/confirm

PayPal Team (variation 20)",1
21,"Subject: Verify Your Bank Account Now

Dear Customer, We noticed unusual activity on your account. Please confirm your identity to avoid restrictions: http://secure-bank-verify.com/login

Thank you, Your Bank Security Team (variation 21)",1
22,"Subject: Immediate Action Required: Account Login

Hi, A suspicious login attempt was detected on your PayPal account. Verify your details here: http://paypa1.com/verify-login

PayPal Support (variation 22)",1
23,"Subject: Your Amazon Package Couldn’t be Delivered

Hello, Your recent order requires verification to be delivered. Click the link to confirm: http://amaz0n-delivery.com/confirm

Amazon Delivery Team (variation 23)",1
24,"Subject: Facebook Account Alert

Hi, We detected a login attempt from a new device. Confirm it’s you immediately: http://faceb00k-security.com/login

Security Team Facebook (variation 24)",1
25,"Subject: Subscription Payment Failed

Hello, We couldn’t process your subscription payment. Update your payment info to avoid service interruption: http://netf1ix-billing.com/update

Subscription Services (variation 25)",1
26,"Subject: DHL Delivery Notification

Dear Customer, Your parcel could not be delivered. Verify your address here to receive it: http://dhl-delivery.com/verify

DHL Customer Support (variation 26)",1
27,"Subject: Electricity Bill Payment Failed

Hi, Your electricity payment was unsuccessful. Please update your payment method here: http://e-bill-update.com/login

Your Electricity Provider (variation 27)",1
28,"Subject: Urgent: Account Suspended

Dear User, Your account has been temporarily suspended. Click here to restore access: http://secure-login-now.com/account-verify

Support Team (variation 28)",1
29,"Subject: Update Your Apple ID Now

Hi, We detected unusual activity on your Apple ID. Verify immediately: http://applleid-update.com/verify

Apple Security (variation 29)",1
30,"Subject: PayPal Transaction Alert

Hello, Your recent transaction was flagged as suspicious. Confirm it here: http://paypal-secure-login.com/confirm

PayPal Team (variation 30)",1
31,"Subject: Verify Your Bank Account Now

Dear Customer, We noticed unusual activity on your account. Please confirm your identity to avoid restrictions: http://secure-bank-verify.com/login

Thank you, Your Bank Security Team (variation 31)",1
32,"Subject: Immediate Action Required: Account Login

Hi, A suspicious login attempt was detected on your PayPal account. Verify your details here: http://paypa1.com/verify-login

PayPal Support (variation 32)",1
33,"Subject: Your Amazon Package Couldn’t be Delivered

Hello, Your recent order requires verification to be delivered. Click the link to confirm: http://amaz0n-delivery.com/confirm

Amazon Delivery Team (variation 33)",1
34,"Subject: Facebook Account Alert

Hi, We detected a login attempt from a new device. Confirm it’s you immediately: http://faceb00k-security.com/login

Security Team Facebook (variation 34)",1
35,"Subject: Subscription Payment Failed

Hello, We couldn’t process your subscription payment. Update your payment info to avoid service interruption: http://netf1ix-billing.com/update

Subscription Services (variation 35)",1
36,"Subject: DHL Delivery Notification

Dear Customer, Your parcel could not be delivered. Verify your address here to receive it: http://dhl-delivery.com/verify

DHL Customer Support (variation 36)",1
37,"Subject: Electricity Bill Payment Failed

Hi, Your electricity payment was unsuccessful. Please update your payment method here: http://e-bill-update.com/login

Your Electricity Provider (variation 37)",1
38,"Subject: Urgent: Account Suspended

Dear User, Your account has been temporarily suspended. Click here to restore access: http://secure-login-now.com/account-verify

Support Team (variation 38)",1
